329	3534591073862641924.wav	Вай соли 1945 ба даста шомил шуд ва то соли 1958 да ҳамин тим монд.	вай соли 1945 ба даста шомил шуд ва то соли 1958 да ҳамин тим монд	в а й | с о л и | 1 9 4 5 | б а | д а с т а | ш о м и л | ш у д | в а | т о | с о л и | 1 9 5 8 | д а | ҳ а м и н | т и м | м о н д |	117120	MALE
1418	13775806416366547075.wav	Мутаассифона, бо пайдоиши усулҳои навишт мақоми қалам паст шуд ва аз он камтар истифода мебаранд.	мутаассифона бо пайдоиши усулҳои навишт мақоми қалам паст шуд ва аз он камтар истифода мебаранд	м у т а а с с и ф о н а | б о | п а й д о и ш и | у с у л ҳ о и | н а в и ш т | м а қ о м и | қ а л а м | п а с т | ш у д | в а | а з | о н | к а м т а р | и с т и ф о д а | м е б а р а н д |	156480	FEMALE
1428	7072710720602252729.wav	Лижаронии кӯҳӣ ҳамчун варзиш ҳадди ақал аз асри 17 оғоз ёфтааст ва соли 1861 одамони норвегӣ дар Австралия аввалин клуби лижаронии фароғатиро кушода буданд.	лижаронии кӯҳӣ ҳамчун варзиш ҳадди ақал аз асри 17 оғоз ёфтааст ва соли 1861 одамони норвегӣ дар австралия аввалин клуби лижаронии фароғатиро кушода буданд	л и ж а р о н и и | к ӯ ҳ ӣ | ҳ а м ч у н | в а р з и ш | ҳ а д д и | а қ а л | а з | а с р и | 1 7 | о ғ о з | ё ф т а а с т | в а | с о л и | 1 8 6 1 | о д а м о н и | н о р в е г ӣ | д а р | а в с т р а л и я | а в в а л и н | к л у б и | л и ж а р о н и и | ф а р о ғ а т и р о | к у ш о д а | б у д а н д |	264000	FEMALE
9	14512442449701951660.wav	Дарҳол пас аз соати 11:00, тазоҳургарон пеши роҳи вагони шимолиро дар Уайтҳолл бастанд.	дарҳол пас аз соати 11:00 тазоҳургарон пеши роҳи вагони шимолиро дар уайтҳолл бастанд	д а р ҳ о л | п а с | а з | с о а т и | 1 1 : 0 0 | т а з о ҳ у р г а р о н | п е ш и | р о ҳ и | в а г о н и | ш и м о л и р о | д а р | у а й т ҳ о л л | б а с т а н д |	149760	FEMALE
226	11750488650253507653.wav	Нерӯи торик як қувваи комилан ноаёнест, ки бар коинот доимо таъсир мерасонад.	нерӯи торик як қувваи комилан ноаёнест ки бар коинот доимо таъсир мерасонад	н е р ӯ и | т о р и к | я к | қ у в в а и | к о м и л а н | н о а ё н е с т | к и | б а р | к о и н о т | д о и м о | т а ъ с и р | м е р а с о н а д |	149760	MALE
665	3204447432244315159.wav	Сайёҳаткунӣ ба ҷаҳони Уолт Дисней барои аксари хонаводаҳои амрикоӣ зиёрати бузургест.	сайёҳаткунӣ ба ҷаҳони уолт дисней барои аксари хонаводаҳои амрикоӣ зиёрати бузургест	с а й ё ҳ а т к у н ӣ | б а | ҷ а ҳ о н и | у о л т | д и с н е й | б а р о и | а к с а р и | х о н а в о д а ҳ о и | а м р и к о ӣ | з и ё р а т и | б у з у р г е с т |	168960	FEMALE
746	8062960799541639072.wav	Дар охир, меҳмонхонаҳои "ҷойи хоб ва наҳорӣ" бешубҳа бо ду чизи асосӣ рақобат мекунанд: ҷойи хоб ва наҳорӣ.	дар охир меҳмонхонаҳои ҷойи хоб ва наҳорӣ бешубҳа бо ду чизи асосӣ рақобат мекунанд ҷойи хоб ва наҳорӣ	д а р | о х и р | м е ҳ м о н х о н а ҳ о и | ҷ о й и | х о б | в а | н а ҳ о р ӣ | б е ш у б ҳ а | б о | д у | ч и з и | а с о с ӣ | р а қ о б а т | м е к у н а н д | ҷ о й и | х о б | в а | н а ҳ о р ӣ |	86400	MALE
109	348158240611950884.wav	Капсула (кабинаи ҷудошаванда) ба ситораи афтанда, ки дар осмон ҳаракат мекунад, монанд хоҳад буд.	капсула кабинаи ҷудошаванда ба ситораи афтанда ки дар осмон ҳаракат мекунад монанд хоҳад буд	к а п с у л а | к а б и н а и | ҷ у д о ш а в а н д а | б а | с и т о р а и | а ф т а н д а | к и | д а р | о с м о н | ҳ а р а к а т | м е к у н а д | м о н а н д | х о ҳ а д | б у д |	145920	MALE
1331	9485359003582650580.wav	Дар ҳоле ки омӯзиши лоиҳавӣ бояд омӯзишро осонтар ва шавқовартар гардонад, усули омӯзиши “скаффолдинг” як қадам аз он болотар меравад.	дар ҳоле ки омӯзиши лоиҳавӣ бояд омӯзишро осонтар ва шавқовартар гардонад усули омӯзиши скаффолдинг як қадам аз он болотар меравад	д а р | ҳ о л е | к и | о м ӯ з и ш и | л о и ҳ а в ӣ | б о я д | о м ӯ з и ш р о | о с о н т а р | в а | ш а в қ о в а р т а р | г а р д о н а д | у с у л и | о м ӯ з и ш и | с к а ф ф о л д и н г | я к | қ а д а м | а з | о н | б о л о т а р | м е р а в а д |	159360	MALE
3	3375246650893511556.wav	JAS 39C Gripen» тахминан соати 9:30 ба вақти маҳаллӣ (02:30 UTC) ба хати парвоз бархӯрда, таркид ва боиси баста шудани фурудгоҳ барои парвозҳои тиҷорӣ гардид.	jas 39c gripen» тахминан соати 9:30 ба вақти маҳаллӣ 02:30 utc ба хати парвоз бархӯрда таркид ва боиси баста шудани фурудгоҳ барои парвозҳои тиҷорӣ гардид	j a s | 3 9 c | g r i p e n » | т а х м и н а н | с о а т и | 9 : 3 0 | б а | в а қ т и | м а ҳ а л л ӣ | 0 2 : 3 0 | u t c | б а | х а т и | п а р в о з | б а р х ӯ р д а | т а р к и д | в а | б о и с и | б а с т а | ш у д а н и | ф у р у д г о ҳ | б а р о и | п а р в о з ҳ о и | т и ҷ о р ӣ | г а р д и д |	175680	MALE
222	15317910918586966588.wav	Раванди судӣ дар суди Шоҳигарии Бирмингема барпо гардида санаи 3 август анҷом ёфт.	раванди судӣ дар суди шоҳигарии бирмингема барпо гардида санаи 3 август анҷом ёфт	р а в а н д и | с у д ӣ | д а р | с у д и | ш о ҳ и г а р и и | б и р м и н г е м а | б а р п о | г а р д и д а | с а н а и | 3 | а в г у с т | а н ҷ о м | ё ф т |	153600	FEMALE
898	11000802577196596249.wav	Баъзе мӯза пошнаи мехӣ доранд, аммо пойафзоли лағжонак ва мӯзаҳои кӯтоҳ, пошна ё кафаки пойафзол асбоби иловагӣ бо мех ҳаст.	баъзе мӯза пошнаи мехӣ доранд аммо пойафзоли лағжонак ва мӯзаҳои кӯтоҳ пошна ё кафаки пойафзол асбоби иловагӣ бо мех ҳаст	б а ъ з е | м ӯ з а | п о ш н а и | м е х ӣ | д о р а н д | а м м о | п о й а ф з о л и | л а ғ ж о н а к | в а | м ӯ з а ҳ о и | к ӯ т о ҳ | п о ш н а | ё | к а ф а к и | п о й а ф з о л | а с б о б и | и л о в а г ӣ | б о | м е х | ҳ а с т |	218880	FEMALE
863	12004473466549433641.wav	Аммо дар қисмҳои дигари дунё, ки дар он ҷо фаунаи бактериологӣ барои шумо ношинос аст, эҳтимоли бо мушкилиҳо дучор шудан хеле зиёдтар аст.	аммо дар қисмҳои дигари дунё ки дар он ҷо фаунаи бактериологӣ барои шумо ношинос аст эҳтимоли бо мушкилиҳо дучор шудан хеле зиёдтар аст	а м м о | д а р | қ и с м ҳ о и | д и г а р и | д у н ё | к и | д а р | о н | ҷ о | ф а у н а и | б а к т е р и о л о г ӣ | б а р о и | ш у м о | н о ш и н о с | а с т | э ҳ т и м о л и | б о | м у ш к и л и ҳ о | д у ч о р | ш у д а н | х е л е | з и ё д т а р | а с т |	163200	MALE
891	17305360820977309501.wav	Баъзан саёҳатҳои махсуси ҳавоӣ ба дохилтари кишвар бо мақсади кӯҳнавардӣ ё расидан ба қутб, ки дорои пойгоҳи бузург мебошад, мераванд.	баъзан саёҳатҳои махсуси ҳавоӣ ба дохилтари кишвар бо мақсади кӯҳнавардӣ ё расидан ба қутб ки дорои пойгоҳи бузург мебошад мераванд	б а ъ з а н | с а ё ҳ а т ҳ о и | м а х с у с и | ҳ а в о ӣ | б а | д о х и л т а р и | к и ш в а р | б о | м а қ с а д и | к ӯ ҳ н а в а р д ӣ | ё | р а с и д а н | б а | қ у т б | к и | д о р о и | п о й г о ҳ и | б у з у р г | м е б о ш а д | м е р а в а н д |	213120	FEMALE
